,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
DADK_reverse,1.68821456971606e-05,1.19971950754e-05,1.23863043060676e-05,2.2099096313156303e-05,2.20751037774794e-05,2.08942633782962e-05,1.29008823893712e-05,2.25584621489621e-05,1.76424056115989e-05,2.3126136261856303e-05,1.8255864259105397e-05,1.3032714562040499e-05,2.23551918818397e-05,2.07235257344817e-05,1.7174000000000002e-05,2.12536826419599e-05,1.8527e-05,2.2928465534007998e-05,1.4531155998761902e-05,2.0820168349126198e-05,1.40093676189011e-05,1.52978482325578e-05,1.9996914158127e-05,1.1811e-05,2.4491e-05,1.67478705557781e-05,2.4625826466572698e-05,1.87209285527381e-05,1.7977579300201603e-05,1.5153607639313e-05,1.593e-05
PLIPA2G120pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
3OAR100_reverse,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
PGP120abcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
ACMAMUT,,,,,,,,,5.6882756188190904e-08,,,,,,,,5.5470162000598096e-08,6.24116108445267e-08,8.450579750799951e-08,,7.24293836079238e-08,,,6.36006796384978e-08,,,9.01780667444439e-08,1.06308509669154e-07,1.0647782925224499e-07,,9.118273513904641e-08
CYTD,9.228570852039501e-06,2.34117449153502e-06,1.66924804124739e-06,1.31179726329083e-06,5.25334131381093e-06,1.4160737794449601e-06,9.01650092868157e-07,6.772509595508061e-07,1.072e-06,1.0204341822660102e-06,2.9436826327388804e-06,1.3208832326392402e-06,6.9e-07,7.48752095301787e-07,2.8027884212573603e-06,6.922085871884279e-07,1.11336539444058e-06,9.127698086012041e-07,1.08321067714799e-06,5.66845855642537e-07,8.04347365330101e-07,1.2351115941561702e-06,2.12347704447147e-06,9.465277616788191e-07,5.730897858536741e-07,1.19035048102666e-06,2.39512945273243e-06,9.107095661657551e-07,2.83368416558394e-06,6.765914113132789e-07,1.73584910598036e-06
DSERDHr,1.59763971947794e-05,6.5944847103192196e-06,8.114e-06,9.47879766564298e-06,1.70884550782585e-05,1.00495406617267e-05,8.01922128050922e-06,9.631301788054519e-06,8.42739910911198e-06,8.82614724868322e-06,1.4330999999999999e-05,6.9818113725217104e-06,8.63280017053938e-06,8.18394091262653e-06,1.46429341218293e-05,7.845e-06,8.273e-06,9.86883596479079e-06,9.472331666123939e-06,7.628e-06,9.0003039314899e-06,7.6927629537258e-06,1.2167221548654e-05,7.28788964328198e-06,7.641486217715379e-06,7.4018157183839495e-06,6.85714019524751e-06,6.701e-06,9.08152840461084e-06,7.473105136013009e-06,8.122000000000001e-06
PPND,6.03832334920796e-07,1.68437440793696e-06,1.8531072457905899e-06,1.107e-06,5.33385229180037e-07,1.12537062578365e-06,2.8734404474737703e-06,1.2085046705201e-06,3.7892666814594904e-06,1.2201978769737498e-06,5.33385229180037e-07,2.126e-06,1.5630000000000001e-06,9.12591935510297e-06,1.18250498921989e-06,2.04481930141285e-06,2.34163326731096e-06,2.3014281498919202e-06,2.8962441509559798e-06,2.49236612206651e-06,4.70028578887211e-06,2.76375279556551e-06,1.11205788347913e-06,3.9020887566443004e-06,2.75612304713859e-06,1.6123838333906602e-06,1.6628835507675502e-06,5.01776165638408e-06,2.41464238594607e-06,6.1403220544310695e-06,4.17414298636523e-06
PLIPA2E180pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
CA2t3pp,,1.00638722486799e-07,1.0160640251071099e-07,,,,,,5.6882756188190904e-08,,,1.00638722486799e-07,,1.24792015883631e-07,,,8.71673974295113e-08,7.41137878778755e-08,6.14587618239996e-08,,1.1817425746556e-07,1.02925966179681e-07,,1.34683792175642e-07,,9.73923120839994e-08,9.01780667444439e-08,1.52375530525788e-07,8.586921713890731e-08,1.87e-07,2.16136853662925e-07
