,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
MALTATr,,3.6018069100538703e-07,4.6448641147753494e-07,,,,5.69223543477372e-07,,3.01916167460398e-07,,,3.35462408289331e-07,,2.5763512956620604e-07,,,3.01123736574675e-07,6.436197368341821e-07,4.4941719583799706e-07,,2.70657170324347e-07,3.8883142778990704e-07,,2.17e-07,,1.6953476547955502e-07,,2.41e-07,,2.95796245147012e-07,8.10513201235968e-08
ACt4pp,5.38417165304377e-06,1.01327303219604e-05,8.012390597987489e-06,3.2290877748065897e-06,,1.95556348448046e-06,3.08746849982127e-06,1.0198233721467699e-06,1.47020046763324e-06,1.6965853012840401e-06,,5.89155854558138e-06,,1.08287265395796e-06,,,4.0334732083292e-06,2.46525862835881e-06,1.4519999999999998e-06,,9.453940597244791e-07,2.6150819555282e-06,,2.35322514662442e-06,,2.05605992177332e-07,2.2e-07,1.4174467955887197e-07,2.02651352447821e-07,2.99196201987782e-07,1.85742608616576e-07
PLIPA1E120pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
MAN6PI_reverse,4.79543512649599e-06,2.945e-06,3.1739999999999996e-06,5.892064270673661e-06,5.23321356931357e-06,5.89262840487646e-06,2.1266191584314603e-06,5.721429639445299e-06,3.94241256350462e-06,5.607562505881401e-06,4.98161676309657e-06,3.21624583947396e-06,5.61547972745885e-06,3.4217165645511797e-06,4.493518959035591e-06,5.1119999999999995e-06,3.58574975789581e-06,3.1868928787486498e-06,3.24963203144398e-06,5.1290572524587896e-06,3.3813085926436e-06,2.8514304704593203e-06,4.6243492982684305e-06,3.4157306182322603e-06,4.96185481624895e-06,3.8596212566622005e-06,4.278e-06,3.23886592792023e-06,2.9916835251195303e-06,2.8763634872916304e-06,3.29270988002112e-06
APPLDHr,3.32107784206438e-07,3.92e-07,3.04819207532133e-07,,,,2.32243205738768e-07,,2.45e-07,,,2.2224384549168201e-07,,1.6907305377782302e-07,,,1.5848617714456599e-07,9.751814194457301e-08,1.30599868875999e-07,,1.37234621572908e-07,8.38656020723328e-08,,1.7583717311820001e-07,,7.93566987351106e-08,1.51499152130666e-07,1.91355317404478e-07,1.2365167268002698e-07,5.779926629309419e-08,1.45216948554778e-07
HCO3E,1.3888143703178302e-05,5.57220716084805e-06,6.17379855255558e-06,1.18532737064678e-05,1.4819051886181198e-05,1.14482328167146e-05,9.585724472158941e-06,1.18885420393735e-05,9.293767241824429e-06,1.1158797761411802e-05,1.29522035840511e-05,6.4786177600877096e-06,1.01578841442158e-05,1.02168431068599e-05,1.4154836317768302e-05,1.0263e-05,8.46712401394844e-06,9.00287486432298e-06,9.75273726694594e-06,1.0127416607419e-05,9.78177885989118e-06,9.339578412600698e-06,1.3561067855096199e-05,8.04735658249463e-06,1.04021497797238e-05,1.24265375973844e-05,2.2999e-05,1.29058530738353e-05,2.8295624431612702e-05,1.12198575745418e-05,1.59400929576407e-05
AGPAT180,,2.0127744497359897e-07,2.46758406097441e-07,,,5.37006335926694e-08,1.36613650434569e-07,,1.09389915746521e-07,,,2.9352960725316503e-07,,1.85175249375711e-07,,5.344605160896481e-08,1.0300000000000001e-07,1.13121044655705e-07,2.22788011611999e-07,,1.5248291285878699e-07,1.41e-07,,3.18e-07,,2.3446297353555398e-07,1.2624929344222098e-07,1.52375530525788e-07,1.44260284793364e-07,2.27797108331607e-07,1.5534836357022702e-07
AGPAT181,,2.0127744497359897e-07,2.46758406097441e-07,,,5.37006335926694e-08,1.36613650434569e-07,,1.09389915746521e-07,,,2.9352960725316503e-07,,1.85175249375711e-07,,5.344605160896481e-08,1.0300000000000001e-07,1.13121044655705e-07,2.22788011611999e-07,,1.5248291285878699e-07,1.41e-07,,3.18e-07,,2.3446297353555398e-07,1.2624929344222098e-07,1.52375530525788e-07,1.44260284793364e-07,2.27797108331607e-07,1.5534836357022702e-07
CHTBSptspp,1.6474558871089098e-05,1.78766151785762e-05,1.9547136483013e-05,1.7783e-05,2.1828538907386803e-05,1.777e-05,2.0296234666229198e-05,1.81351193613585e-05,1.15997066657611e-05,2.03265850725151e-05,2.63925049721631e-05,2.13437957274087e-05,2.23627761942282e-05,1.23785628658763e-05,2.60855568685784e-05,2.30694246295251e-05,1.2904736973996302e-05,1.33521839950509e-05,2.4852386812579802e-05,2.4331999999999997e-05,1.56981158788121e-05,2.04136499589701e-05,2.04246287286959e-05,2.60239016214935e-05,2.2893418427136102e-05,1.72023680121701e-05,1.99365669958617e-05,3.59960613739756e-05,2.1079175423259e-05,3.1487e-05,2.3582557017628198e-05
OCTNLL,,1.64200020899515e-07,1.9353600478230603e-07,2.78710064020897e-07,,1.74395845062874e-07,2.96e-07,2.63091574186664e-07,2.0565304160346e-07,2.80097328617285e-07,,2.3482368580253201e-07,2.9729689852761997e-07,3.01916167460398e-07,,2.52189584222046e-07,2.6150219228853395e-07,3.16e-07,3.5338788048799797e-07,,2.8209338878875604e-07,2.51596806216998e-07,,2.4692028565534396e-07,2.5313396772720297e-07,3.31855285619553e-07,3.60712266977775e-07,2.19704253316252e-07,1.68303665592258e-07,2.61796676739309e-07,2.19513992001408e-07
AMANK,,1.00638722486799e-07,6.289920155424959e-08,,,,,,,,,6.70924816578663e-08,,6.44087823915516e-08,,,5.94323164292122e-08,,,,,7.24293836079238e-08,,6.36006796384978e-08,,,,,,8.1598964178486e-08,
3NTD7pp,1.47435728443161e-06,1.09113562275161e-06,1.079e-06,3.76937283070821e-07,1.4089421148151899e-06,1.42527338947723e-06,8.606659977377859e-07,9.858104961260981e-07,1.14640631702354e-06,1.4302294379836001e-06,1.258e-06,1.17831170911628e-06,5.4816870828742e-07,8.89646306783306e-07,7.9e-07,7.465200962073159e-07,1.0182736881538401e-06,1.11560754384592e-06,9.56451980885994e-07,7.93e-07,7.547904186509949e-07,1.01019929768946e-06,5.28353293055697e-07,9.240804629828791e-07,6.16675669424856e-07,7.286387792951071e-07,4.1842622969422e-07,4.74844676522222e-07,3.9843316752452997e-07,6.221921018609551e-07,6.0113062425001e-07
DMATT,9.258762468785541e-07,,,4.6412389843570994e-07,9.41e-07,3.94090548740125e-07,,3.36181699547081e-07,,3.93836588275508e-07,8.85620757883835e-07,,3.5358944147156295e-07,,7.296307380292959e-07,3.47413889401597e-07,,,,3.1544441809737804e-07,,,6.69247504537216e-07,,3.29e-07,,,,,,
LPLIPAL1G140pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
ICDHyr,5.97039221152937e-05,8.09029393296512e-05,0.0001074173,0.0001596741,8.653923746639879e-05,0.0001595223,9.914963369706259e-05,0.00016686400000000002,0.0001315042,0.0001660671,9.064026540773579e-05,0.0001150343,0.0001505742,0.0001426856,7.36323213074668e-05,0.0001379225,0.0001172283,0.0001096923,0.00012187270000000001,0.0001241363,9.374268275276071e-05,0.0001282839,6.92595688154153e-05,0.0001142268,0.0001145609,0.00011622870000000001,0.0001350831,0.0001193136,9.7015e-05,8.05755771694141e-05,0.00010050030000000001
PA140abcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
LPLIPAL1E180pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
MDH_reverse,0.0001367177,0.0002240536,0.0002372655,0.00033598739999999997,0.0001628435,0.000341644,0.0002270155,0.0003467783,0.0005241133,0.0003303624,0.00015599,0.000253467,0.0003186272,0.0005196863,0.0001427862,0.0003118288,0.0002747873,0.00027915540000000003,0.0002572971,0.0003219518,0.0002515091,0.00034603330000000003,9.346318157349059e-05,0.0002673436,0.0002868598,0.0002548721,0.0002270539,0.0001883007,0.0001230265,0.0002575909,0.00021193229999999998
PTRCTA,,8.47483978836205e-08,1.11283202749826e-07,,,,1.18398497043293e-07,,1.5314588204512998e-07,,,1.3e-07,,9.258762468785539e-08,,,1.8225910371625103e-07,1.0922031897792198e-07,1.30599868875999e-07,,2.1347607800230201e-07,1.1436218464409001e-07,,1.4216622507428902e-07,,1.55106274800443e-07,8.3e-08,1.2048297762504197e-07,6.52606050255696e-08,1.1559853258618801e-07,
LPLIPAL1E140pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
ACOAD8f,1.4039101786908501e-06,1.838e-06,2.1482496530836e-06,1.67759389065172e-06,1.48945309280463e-06,1.2812911425931e-06,5.05470506607906e-07,6.97507135919574e-07,1.36081055188672e-06,1.4683692930707898e-06,1.07683433060875e-06,2.2182451748132003e-06,9.97333305506827e-07,1.62229620648721e-06,6.49119760039856e-07,1.02218213394597e-06,7.409228781508459e-07,5.5e-07,8.37375629851995e-07,6.215349452553279e-07,4.49824592933422e-07,1.10168904540474e-06,2.81788422963038e-07,1.5563460429185301e-06,5.91191734760692e-07,4.3285472037333097e-07,5.122114191084409e-07,3.04751061051576e-07,1.7517320296337098e-07,6.69791497631739e-07,4.9643933575703e-07
ARGTRS,2.6568622736515e-06,1.7532324812173999e-06,1.66924804124739e-06,2.07472143699199e-06,2.8128522935060398e-06,2.09528301564199e-06,2.44083055443097e-06,2.10913146786778e-06,1.94714050028807e-06,2.09219180246856e-06,2.5813832317864e-06,1.93729540787089e-06,2.45775387615918e-06,2.33481836169375e-06,2.531063870543e-06,2.19482839967115e-06,2.3099360318820498e-06,2.5354716905589e-06,2.46219164557398e-06,2.2901596081625703e-06,2.4892835524197003e-06,2.30249198416768e-06,2.85310778250076e-06,2.05392783067854e-06,2.34055774140068e-06,2.59352119957021e-06,2.0235958177453203e-06,3.33454358662247e-06,2.2222953395549197e-06,2.805e-06,2.75236774586381e-06
LPLIPAL1G181pp,1.03154690548969e-06,9.26935601852099e-07,7.88659219487899e-07,,1.01645109711667e-06,,6.46637945390295e-07,,7.57e-07,,9.761956081219541e-07,8.38656020723328e-07,,9.38e-07,7.95e-07,,9.74689989439081e-07,4.95392161078431e-07,7.52869832343995e-07,,7.47166273008056e-07,7.81474928401283e-07,7.44726546402315e-07,6.58454095080918e-07,,5.19425664447997e-07,1.1037795369519899e-06,5.95327654147264e-07,7.45344804765716e-07,5.03193612433997e-07,6.889362210505729e-07
XYLI1_reverse,,8.84561402910289e-07,8.079999999999999e-07,,,,9.60849341389804e-07,,9.582556619395251e-07,,,7.590000000000001e-07,,7.85e-07,,,8.082795034372859e-07,8.659999999999999e-07,9.449284630439941e-07,,8.69152603295085e-07,7.39542127365117e-07,,7.9313788725656e-07,,0.0001094798,1.03524420622622e-06,9.2134041713267e-07,1.19529950257359e-06,8.159999999999999e-07,1.11107851336097e-06
PLIPA2E120pp,,6.35612984127154e-08,6.77376016738073e-08,,,,8.199999999999999e-08,,6.56339494479126e-08,2.48475074650379e-07,,6.289920155424959e-08,,5.63576845926077e-08,,,5.5470162000598096e-08,5.85108851667438e-08,6.91411070519996e-08,,6.86173107864541e-08,8.00535292508631e-08,,5.98594631891744e-08,,8.657094407466611e-08,6.49282080559996e-08,7.4415956768408e-08,7.556491108223849e-08,7.47990504969455e-08,6.416562843118079e-08
ABUTD,2.0615842301420898e-05,1.3268421043654302e-05,1.1109000000000002e-05,4.2066498976177595e-06,,4.84934888623363e-06,9.267000000000001e-06,4.496e-06,2.24905666774847e-06,2.7880000000000002e-06,,7.246000000000001e-06,1.21265710199408e-06,4.76222434807535e-06,,,9.39030599581553e-06,7.43478314185425e-06,3.5530846679499804e-06,,4.8146479735162e-06,4.483e-06,,3.64394482164099e-06,6.65380066574897e-07,1.093e-06,2.26527303662043e-06,1.10915211754818e-06,7.213014239668221e-07,1.10158601640956e-06,1.0671757149606899e-06
ICL,0.00022351360000000001,0.0011553961,0.0009721459,0.0008453725,0.0002577106,0.0008764157000000001,0.0008924741999999999,0.0007563507000000001,0.0010621192,0.0006174733999999999,0.0001553308,0.0007722722,0.0004685732,0.0001961368,8.20004310822441e-05,0.0003568971,0.0005512585,0.00047410199999999995,0.0003378273,0.0002741601,0.0002855548,0.0005298286,4.17751337042704e-05,0.0004097717,0.0001991225,0.0001011365,0.0001571659,9.983432143030279e-05,8.13215833992308e-05,0.00011329680000000001,0.0002059582
TRPAS2_reverse,1.8985494997134697e-05,1.9825828329899498e-05,1.4781312365248699e-05,2.30999427766629e-05,,2.7456e-05,6.3388733801640194e-06,4.79914493480859e-05,1.05408122813348e-05,3.2658000000000005e-05,,1.2885949758413901e-05,2.5449201661950197e-05,3.5666363249321703e-06,,2.6626e-05,6.57717635149949e-06,6.732652519853321e-06,4.23681339324197e-06,1.15413426987413e-05,3.98361609843581e-06,6.309e-06,,8.096e-06,3.11114104700235e-05,2.3518439806951e-06,1.85406105226577e-06,2.1722372142397203e-06,2.00590491236487e-06,2.38e-06,2.57e-06
DGK1,8.051097798943949e-07,7.20361382010775e-07,7.741440191292259e-07,8.416210140168309e-07,7.09502993531936e-07,6.690000000000001e-07,1.27050694904149e-06,6.78441027018712e-07,8.488657461930041e-07,6.028747823964949e-07,7.39694610277975e-07,8.51235861034178e-07,6.72331034521343e-07,9.339273446774981e-07,8.00077843770055e-07,7.213859746570459e-07,1.10544108558335e-06,1.08050101274587e-06,1.0332754331659901e-06,7.85653258850301e-07,1.1169373366906099e-06,1.04450795308269e-06,1.0718023944844102e-06,1.0101284413173202e-06,8.243217319954209e-07,1.5582769933439899e-06,1.87209666561466e-06,1.5485606241806802e-06,1.8444707841437303e-06,1.25118411740345e-06,1.73922624431885e-06
UREAtpp,,6.19722659523975e-07,6e-07,,,,3.50641702782061e-07,,3.06291764090259e-07,,,5.2e-07,,3.30095009756702e-07,,,2.65464346717148e-07,1.9893700956692898e-07,2.34311529453999e-07,,4.9137618668744106e-06,3.05e-07,,3.40450696888429e-07,,4.50890333722219e-07,3.82355002996442e-07,1.6300000000000002e-07,5.39258683632338e-07,2.61796676739309e-07,5.20079304126413e-07
PFK,8.76563272860023e-06,4.34865216640328e-06,4.31585290664544e-06,9.873999999999999e-06,8.569387219750971e-06,1.03495511791334e-05,5.305163425209111e-06,1.02763217340311e-05,3.64924758930394e-06,1.05628850113696e-05,9.59087025299198e-06,4.00877577905751e-06,1.1498763020219301e-05,3.25666905967283e-06,9.153091810174401e-06,1.1488461974372e-05,3.978e-06,3.24930448959317e-06,4.30211332767997e-06,1.1481851709546198e-05,4.83752041044502e-06,3.67865027271823e-06,9.5304870194999e-06,5.2638915441980206e-06,1.1167080236847199e-05,5.67761108223019e-06,4.25640475033775e-06,5.13115740003118e-06,4.54419897099098e-06,6.759114199451261e-06,3.84318342919388e-06
G6PDH2r,6.8283373207293404e-06,4.873e-06,4.18037770329782e-06,6.21527027364754e-06,6.65221955637744e-06,6.45374813930355e-06,5.45543844068713e-06,6.16771518231747e-06,2.7347478936630297e-06,5.85539004363417e-06,5.99806786021324e-06,3.4217165645511797e-06,5.95078203284581e-06,4.01749780167303e-06,5.515e-06,5.707999999999999e-06,3.34009618332173e-06,3.3975320653489202e-06,4.29058980983797e-06,5.70747042833653e-06,4.46393727394099e-06,3.7587038019691004e-06,5.4244271420384905e-06,3.73e-06,5.50820127796296e-06,6.39542849351596e-06,4.65679536668308e-06,4.37282336439121e-06,5.3651086868389294e-06,5.16453444113001e-06,6.24432878785544e-06
O16A4Lpp,,,,,,,,,,,,,,,,,,,,,,,,5.6118246739851e-08,,,,,,,
TYRTRS,4.17147504707783e-06,4.84125222910182e-06,5.36578573258945e-06,4.22394087708294e-06,4.6444770427657895e-06,4.1520780544575204e-06,5.56472936103479e-06,4.252897771005e-06,4.89191703218442e-06,4.48379101090419e-06,4.73e-06,4.99419660340742e-06,4.551e-06,5.3781333296945606e-06,4.99671257146959e-06,4.63384765476204e-06,4.99627673448244e-06,5.69115876388528e-06,6.879540151673959e-06,4.96968777346939e-06,6.13362516974471e-06,5.71048508656157e-06,5.29359680280565e-06,6.02335848341067e-06,5.37807204980276e-06,7.95731260952973e-06,7.174566990187959e-06,8.06881588388881e-06,7.25423146389489e-06,7.43570561076454e-06,1.13742019240114e-05
PGK_reverse,7.159941911323341e-05,0.0001132027,0.0001032321,9.46562021051042e-05,6.28891376820009e-05,9.5869e-05,0.0001362767,8.8936771212909e-05,0.0001304015,8.68374291297991e-05,6.2431231494686e-05,0.0001130592,8.72194973739935e-05,0.0001133192,5.70571237138909e-05,8.3696795284286e-05,0.0001222206,0.00010848309999999999,0.0001182697,8.52396789646813e-05,0.0001308799,9.607567131950021e-05,5.6156407147634105e-05,0.0001157158,7.90009107111588e-05,0.0001474123,0.0001608813,0.0001418829,0.0001416155,0.0001566054,0.000130854
3NTD4pp,1.47435728443161e-06,1.09113562275161e-06,1.079e-06,3.76937283070821e-07,1.4089421148151899e-06,1.42527338947723e-06,8.606659977377859e-07,9.858104961260981e-07,1.14640631702354e-06,1.4302294379836001e-06,1.258e-06,1.17831170911628e-06,5.4816870828742e-07,8.89646306783306e-07,7.9e-07,7.465200962073159e-07,1.0182736881538401e-06,1.11560754384592e-06,9.56451980885994e-07,7.93e-07,7.547904186509949e-07,1.01019929768946e-06,5.28353293055697e-07,9.240804629828791e-07,6.16675669424856e-07,7.286387792951071e-07,4.1842622969422e-07,4.74844676522222e-07,3.9843316752452997e-07,6.221921018609551e-07,6.0113062425001e-07
APH140,1.16237724472253e-06,2.91322617724946e-06,2.17728005380095e-06,,7.39694610277975e-07,,1.70767063043212e-06,,1.072e-06,,5.48481037553057e-07,1.45506819595497e-06,,8.9769740458225e-07,4.32746506693237e-07,,7.37e-07,7.06e-07,1.1869223377259899e-06,,1.1474339192623699e-06,7.58602491472465e-07,3.7739520932549794e-07,1.1036588525504e-06,,1.2156003397151e-06,1.94063199634043e-06,4.18146804698673e-07,1.683e-06,6.69791497631739e-07,1.155e-06
APH141,1.16237724472253e-06,2.91322617724946e-06,2.17728005380095e-06,,7.39694610277975e-07,,1.70767063043212e-06,,1.072e-06,,5.48481037553057e-07,1.45506819595497e-06,,8.9769740458225e-07,4.32746506693237e-07,,7.37e-07,7.06e-07,1.1869223377259899e-06,,1.1474339192623699e-06,7.58602491472465e-07,3.7739520932549794e-07,1.1036588525504e-06,,1.2156003397151e-06,1.94063199634043e-06,4.18146804698673e-07,1.683e-06,6.69791497631739e-07,1.155e-06
FACOAE141,1.2026327337172501e-06,8.474839788362051e-07,7.64467218890111e-07,,9.912914164949742e-07,5.0262214496576e-07,8.606659977377859e-07,5.717088393889909e-07,8.357389563034209e-07,,8.10141716018735e-07,6.29e-07,5.261283851789661e-07,9.86259480370634e-07,7.49758482526655e-07,,7.09225642721933e-07,7.06e-07,6.06905273011996e-07,,7.433542001865859e-07,8.234077294374491e-07,7.9e-07,6.36e-07,4.99492180749086e-07,1.01720859287733e-06,1.03163708355644e-06,8.469244603642629e-07,9.51430925899093e-07,8.397893396702509e-07,8.94941659698048e-07
FACOAE140,1.2026327337172501e-06,8.474839788362051e-07,7.64467218890111e-07,,9.912914164949742e-07,5.0262214496576e-07,8.606659977377859e-07,5.717088393889909e-07,8.357389563034209e-07,,8.10141716018735e-07,6.29e-07,5.261283851789661e-07,9.86259480370634e-07,7.49758482526655e-07,,7.09225642721933e-07,7.06e-07,6.06905273011996e-07,,7.433542001865859e-07,8.234077294374491e-07,7.9e-07,6.36e-07,4.99492180749086e-07,1.01720859287733e-06,1.03163708355644e-06,8.469244603642629e-07,9.51430925899093e-07,8.397893396702509e-07,8.94941659698048e-07
GLCRAL,,1.00638722486799e-07,5.806080143469191e-08,,,,,,,,,5.45126413470163e-08,,,,,,,,,,,,,,,,,,,
NNDMBRT,,1.64200020899515e-07,1.69344004184518e-07,,,,9.562955530419849e-08,,2.71286991051372e-07,,,2.51596806216998e-07,,3.1e-07,,,2.53577883431306e-07,1.28723947366836e-07,2.45835047295998e-07,,3.01153752896104e-07,1.63919131323196e-07,,2.3199999999999999e-07,,2.12820237516888e-07,1.47892029460888e-07,2.9412021008466e-07,1.6486889690670198e-07,1.3259831679003998e-07,1.5872550190871e-07
SERASr_reverse,,7.945162301589429e-08,1.4515200358673e-07,,,,1.18398497043293e-07,,1.44394688785408e-07,,,1.13218562797649e-07,,1.2881756478310302e-07,,,9.90538607153537e-08,8.971669058900721e-08,1.69e-07,,1.2199999999999998e-07,7.24293836079238e-08,,1.30942575726319e-07,,6.02389485852885e-07,9.558875074911052e-07,1.52375530525788e-07,2.71346726158947e-07,1.0879861890464802e-07,1.5872550190871e-07
DINSt2pp,1.15734530859819e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYNP2r,3.5520437101715796e-05,3.28294106301675e-05,2.65628166563716e-05,2.2526418154395998e-05,3.21993592596515e-05,2.1932644963923e-05,1.48817803206724e-05,1.72732668160177e-05,1.35862275357179e-05,1.55526165862201e-05,1.90358143583781e-05,1.9649710565547602e-05,1.3863866326625e-05,1.05912191545108e-05,1.6902273441658e-05,1.17277303700483e-05,1.47471387833019e-05,1.0274511435280199e-05,1.16233883299639e-05,9.56190725012285e-06,1.24235453251697e-05,9.55686656342447e-06,1.3083e-05,1.489e-05,8.380329587770971e-06,9.13323459987728e-06,1.14237574951862e-05,6.11628292296534e-06,1.3612000000000001e-05,8.31289447568326e-06,1.47783573692025e-05
CDGR,3.5223552870379794e-07,1.48309696296336e-07,1.7418240430407601e-07,,3.7739520932549794e-07,,1.41167438782388e-07,7.088044337525601e-07,1.22516705636104e-07,5.56179714539861e-07,3.01916167460398e-07,1.55151363833816e-07,,2.0530299387307103e-07,2.86820359087378e-07,,2.1e-07,1.91135558211363e-07,2.22788011611999e-07,5.85226751089476e-07,2.4399999999999996e-07,1.41e-07,2.96884231336058e-07,2.0950812116211e-07,5.294252703990271e-07,1.65927642809777e-07,1.98391746837777e-07,2.09073402349337e-07,2.54172882731166e-07,2.4139693569468796e-07,1.9925116197050898e-07
ACODA,1.93226347174655e-06,5.07431032328178e-06,4.11264010162401e-06,1.1183412996684201e-06,1.9876147691142897e-06,1.13547559647629e-06,6.00644683077323e-06,1.09834748479247e-06,3.5004773038886703e-06,1.12749519771301e-06,2.17882834183921e-06,3.2497920803029e-06,1.38724553499485e-06,5.35e-06,2.61157484853244e-06,1.4162552901566601e-06,3.60952268446749e-06,3.6081712519492004e-06,3.6952080546679803e-06,1.4782696541205401e-06,5.2529999999999995e-06,4.4868097108698e-06,2.9889999999999997e-06,4.88976989926568e-06,1.66363548079424e-06,5.53693329810885e-06,9.46869700816661e-06,7.60105844134453e-06,8.52509587755072e-06,6.23212088913187e-06,7.456721451370911e-06
CTECOAI8_reverse,9.56067863624594e-06,1.05935497354526e-05,1.05525506607553e-05,7.977312142490781e-06,9.34933731902366e-06,8.463152578108971e-06,5.35980888538294e-06,7.12828853871868e-06,2.67348954084497e-06,7.435259020931059e-06,5.29862873892999e-06,7.08245009500851e-06,6.69589025366223e-06,4.14631536645613e-06,1.95742315236825e-06,6.11567635777746e-06,3.661e-06,3.5847668978824995e-06,2.66961496672998e-06,5.699e-06,1.06356831719004e-06,4.7117220073365194e-06,7.49758482526655e-07,3.22866979576609e-06,4.7985826545739996e-06,1.04606557423555e-06,7.46674392643995e-07,6.13e-07,5.18650071519e-07,1.122e-06,4.99816474095514e-07
2AGPGAT120,,,5.806080143469191e-08,,,,,,,,,5.45126413470163e-08,,,,,,,,,,,,,,,,,,,
DKGLCNR2x,3.39152494780514e-06,2.0763357481487e-06,3.0772224760386698e-06,1.85994320326388e-06,4.97155289084789e-06,1.85575224583523e-06,4.78147776520993e-06,1.94079363563509e-06,3.728e-06,2.158e-06,7.14031736043842e-06,3.3084980017535303e-06,2.159e-06,5.61564071476341e-06,6.612e-06,2.24233552396343e-06,3.78385747932651e-06,4.431224369961401e-06,4.65166003555397e-06,2.2616802822814603e-06,4.40675618161894e-06,5.8134110527412495e-06,8.22218362717151e-06,4.65033204650898e-06,2.39333508438018e-06,7.1710000000000005e-06,8.2386681777724e-06,6.336e-06,6.2787571571969e-06,5.69832766513094e-06,5.6094267802206e-06
DKGLCNR2y,3.39152494780514e-06,2.0763357481487e-06,3.0772224760386698e-06,1.85994320326388e-06,4.97155289084789e-06,1.85575224583523e-06,4.78147776520993e-06,1.94079363563509e-06,3.728e-06,2.158e-06,7.14031736043842e-06,3.3084980017535303e-06,2.159e-06,5.61564071476341e-06,6.612e-06,2.24233552396343e-06,3.78385747932651e-06,4.431224369961401e-06,4.65166003555397e-06,2.2616802822814603e-06,4.40675618161894e-06,5.8134110527412495e-06,8.22218362717151e-06,4.65033204650898e-06,2.39333508438018e-06,7.1710000000000005e-06,8.2386681777724e-06,6.336e-06,6.2787571571969e-06,5.69832766513094e-06,5.6094267802206e-06
