,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
DAPE,,,,,,,,3.353123330014123e-07,3.699924571425745e-07,3.652365944368209e-07,4.729144837553598e-07,2.1285089805958067e-07,3.681364468567121e-07,5.092358979376334e-07,4.4838841666114683e-07,5.679749885691065e-07,4.4839506562537026e-07,,4.7045796850241715e-07,4.057832647366487e-07,,6.411820579845589e-07,5.405295480459937e-07,,5.298054625412445e-07,1.2824392406492845e-06,1.3590756278229821e-06,1.296981536048627e-06,1.1504012367466035e-06,1.0859924543550519e-06
APG3PAT181,,,,,,,,5.572207160848049e-08,,,,,,,,,,,,,,,,,,,,,,
TDPAGTA,1.5771924608996687e-07,,2.134499633968588e-07,1.7949767382844186e-07,1.2015869887762735e-07,1.5101636978907998e-07,,7.304252542594544e-08,6.188313752914251e-08,1.0523804871809653e-07,8.77525904118592e-08,7.661122749307602e-08,1.349967823437927e-07,1.1646752942911283e-07,1.0333022320446959e-07,1.2604807932840925e-07,1.1091225874066012e-07,8.763955416558777e-08,8.202617065141547e-08,6.310661110776184e-08,9.968283497930827e-08,1.391401210719781e-07,7.709338314731098e-08,1.0645264868451651e-07,1.4398429306123122e-07,3.8474183606703395e-07,3.3215810356768135e-07,3.3708940096953446e-07,3.5580820335207914e-07,3.986802991314557e-07
HG2abcpp,1.069276797379723e-06,2.1202657004783114e-06,1.066802162188856e-06,9.005901296407075e-07,9.337373359591069e-07,1.0594513545444373e-06,2.7116491777024317e-06,,,,,,,,,,,,,,,,,,,,,,,
GLTPD_reverse,2.00658493151508e-05,2.280475678860058e-05,1.0072603093490505e-05,1.715898264831815e-05,7.246855387012661e-06,1.3962937640549524e-05,7.713547761326723e-06,3.395444561207256e-06,2.916708552072348e-06,1.6437582109704762e-06,2.3743081212782397e-06,2.7697244076403455e-06,1.2276716478719684e-06,1.8590032363614724e-06,1.7896139337100267e-06,1.1957762406012624e-06,1.1785785542137788e-06,1.422112826413369e-06,1.4583261719462601e-06,2.685863539916516e-07,6.382623208038251e-07,2.2735846601243128e-07,1.794494899768885e-07,6.980111394101322e-07,4.039732880493605e-07,3.5786425245248444e-05,,,,
3OAR40_reverse,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
FMNAT,,3.5887665369589662e-06,,,,,3.2604118533765327e-06,2.3313754580297233e-07,3.0791578360864963e-07,2.6063607608741914e-07,2.1810161401541368e-07,2.380525114823167e-07,2.837408141792822e-07,2.585900087835024e-07,2.26105563912687e-07,2.808473356726082e-07,2.940061163558485e-07,2.1467688094106461e-07,3.375138419757103e-07,1.9042000573756775e-07,2.6961438395253837e-07,2.834362048629101e-07,2.5870677739609995e-07,2.887753342708212e-07,3.0117319702593185e-07,,,,,
GPDDA1pp,,,,,,,,1.7328398979766537e-07,1.6975526819468056e-07,9.535632800332936e-08,2.0228383219846677e-07,1.8454625736016833e-07,1.7404460666867083e-07,2.0924137537511317e-07,1.255253523110544e-07,2.503676309805185e-07,1.188604305734244e-06,1.4337205881547437e-07,2.0142709363157173e-07,1.4666560775316354e-07,9.539035900227274e-08,2.9091323670964064e-07,8.131814863054523e-08,1.4062221493425752e-07,2.0899420607703286e-07,,,,,
GTHOr_reverse,2.4227261857717056e-06,2.2110387009600355e-06,2.188154293669348e-06,2.255065876324673e-06,2.0705395668142664e-06,1.920847332545075e-06,1.955749698431652e-06,1.7847482916803712e-06,1.8747832783262035e-06,2.2094297995365502e-06,1.6744533183151474e-06,1.7911176634588116e-06,1.9502979308161824e-06,1.9603749574175652e-06,2.084742838491082e-06,2.344498116681025e-06,1.8993081022049427e-06,2.181287128809054e-06,1.7667146438639874e-06,1.872745947695215e-06,2.226893251413995e-06,1.7467019681190391e-06,2.063334244787376e-06,1.9271805362695967e-06,1.969023622560938e-06,3.382819698310031e-06,3.008795886187841e-06,2.643276046115785e-06,2.2679942499625106e-06,2.5051997188638967e-06
CCGS,5.190176101232932e-07,6.419613000040329e-07,5.968028065423664e-07,5.306850957745488e-07,,5.659523607016774e-07,,3.9487456638899436e-07,3.443973205101145e-07,3.0164294015952893e-07,4.220700509163769e-07,3.310175313794976e-07,5.801419796474037e-07,3.3957644530437557e-07,3.3355105270721764e-07,4.2809868783029735e-07,4.3362328344217527e-07,3.675981821743206e-07,3.967747105329929e-07,6.324187820787852e-07,4.239451273789796e-07,5.430238673900401e-07,4.894373638483439e-07,3.502295541677433e-07,3.4637619368652943e-07,1.5423890608326871e-06,1.5279474041558312e-06,1.6895731924696311e-06,1.5183364061583423e-06,1.6319575238459386e-06
