,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
DGK1,8.416210140168305e-07,6.690034548109542e-07,6.784410270187123e-07,6.028747823964948e-07,6.723310345213428e-07,7.213859746570459e-07,7.856532588503006e-07,3.5935969090088963e-07,3.858866015353213e-07,6.357543912390073e-07,4.251767245235781e-07,4.256179305170891e-07,4.665007342153098e-07,5.522252734880971e-07,5.39957951947101e-07,5.171946866120267e-07,5.575537708681543e-07,5.222920972695597e-07,5.042785652043008e-07,9.358860122871878e-07,7.787958200183662e-07,7.746523918741824e-07,9.227677812181256e-07,6.260170533068223e-07,8.698832932265028e-07,8.04103392669527e-07,7.085972450295544e-07,7.378831132732129e-07,7.997759276025946e-07,1.0696386619509472e-06
UREAtpp,,,,,,,,3.0943758777256957e-07,2.995211594012171e-07,1.76140533293638e-07,1.5391161145535512e-07,2.609268544475455e-07,1.659733811252295e-07,1.3336611806715223e-07,9.9585526553798e-08,1.1640673606726924e-07,2.4567093901602384e-06,1.5334062924361763e-07,1.704685275134206e-07,1.9177267673873438e-07,2.2499427652738752e-07,8.090077585822639e-08,2.692515172607577e-07,1.3134033275895478e-07,2.5933045301212494e-07,,,,,
PFK,9.873956539903463e-06,1.0349551179133371e-05,1.027632173403114e-05,1.0562885011369585e-05,1.1498763020219318e-05,1.1488461974372008e-05,1.1481851709546181e-05,2.1753589543008457e-06,2.1570797333017946e-06,2.652946015672379e-06,1.8236611633934022e-06,2.0036121327095855e-06,1.6289786176603296e-06,1.9893581170628778e-06,1.6241061432016972e-06,2.151095075566127e-06,2.4188936277712588e-06,1.8392298345385805e-06,2.6322263633327095e-06,2.1280580902620845e-06,2.838751434275046e-06,2.5659507797994318e-06,2.272047963965204e-06,3.3795740995098312e-06,1.921507286138479e-06,8.765481770516496e-06,8.569638816557184e-06,9.590668975547006e-06,9.151481590614614e-06,9.529933506526225e-06
G6PDH2r,6.215270273647535e-06,6.453748139303553e-06,6.167715182317473e-06,5.85539004363417e-06,5.950782032845813e-06,5.708023126046481e-06,5.707470428336528e-06,2.4378141489966828e-06,2.0897775876387475e-06,2.7274004551592193e-06,1.3672208009494681e-06,1.7099357606527937e-06,2.00848724015805e-06,1.6699688485722914e-06,1.6981614201944058e-06,2.1462167863463463e-06,2.2326929308065734e-06,1.8788753918818652e-06,1.8649402817409732e-06,2.329028929808752e-06,3.1978404960514226e-06,2.186039602411764e-06,2.6816956512480757e-06,2.5828622130121387e-06,3.122772278828646e-06,6.8280354045618765e-06,6.654232330827174e-06,5.997765944045783e-06,5.517115405448828e-06,5.4240245871485395e-06
EAR120y,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
TYRTRS,4.223940877082941e-06,4.152078054457522e-06,4.252897771005e-06,4.483791010904191e-06,4.551035421997989e-06,4.633847654762035e-06,4.969687773469389e-06,2.4196991789490594e-06,2.682118722275595e-06,2.7816360743817437e-06,2.4457178582775692e-06,2.496637040892312e-06,2.6896302416932054e-06,2.498772311949799e-06,2.845267323888419e-06,3.4405959279489885e-06,3.067441576887894e-06,2.8545563701729206e-06,3.0109122923332227e-06,3.587878670334492e-06,3.97806112952435e-06,4.035293846191648e-06,3.6273389919120055e-06,3.717750806677045e-06,5.687675075523252e-06,4.173034947276379e-06,4.6446783202107646e-06,4.72956708262838e-06,4.997215765082023e-06,5.294603190030515e-06
PGK_reverse,9.465620210510425e-05,9.586897001165621e-05,8.893677121290897e-05,8.683742912979913e-05,8.721949737399346e-05,8.369679528428596e-05,8.523967896468127e-05,5.660205130113022e-05,5.161518156341962e-05,6.813817566582319e-05,6.520004340811249e-05,5.652950424485335e-05,5.665990267623551e-05,6.110973412811031e-05,5.424239907205953e-05,5.913533253910637e-05,6.543987184830272e-05,4.803754975428847e-05,5.78583052165135e-05,8.043973731671138e-05,7.370554589766324e-05,7.094136943838135e-05,7.080751601893497e-05,7.830330101380635e-05,6.54275637141218e-05,7.159710442261622e-05,6.288843321094353e-05,6.243188564638216e-05,5.705591604922107e-05,5.6154696289351776e-05
3NTD4pp,3.769372830708215e-07,1.425273389477232e-06,9.858104961260985e-07,1.430229437983602e-06,5.481687082874198e-07,7.465200962073157e-07,7.930202112665356e-07,5.455678113758072e-07,5.400622213450263e-07,4.300597715680241e-07,5.741876677534891e-07,5.895542161679815e-07,4.4480302564715586e-07,5.085425209126258e-07,5.577062537810131e-07,4.77419344194057e-07,3.7649937221245224e-07,5.055761579474153e-07,4.622834105606455e-07,2.0906882994031864e-07,3.638684993138311e-07,2.374754925159458e-07,1.9985201596909287e-07,3.105860574043622e-07,3.002444839828489e-07,1.4765210169650771e-06,1.408891795453948e-06,1.259996805534728e-06,7.894101391864542e-07,5.266424347734211e-07
APH140,,,,,,,,1.4575135403522412e-06,1.0895593229231898e-06,8.538808530995361e-07,5.362731229557449e-07,7.273034675717882e-07,4.482247422117071e-07,3.675690663425346e-07,3.538543298600777e-07,5.931730809169464e-07,5.744603138313724e-07,3.792059439156957e-07,5.511373012320762e-07,9.712177788376606e-07,6.078542766975983e-07,2.0894937575472275e-07,8.40848548067608e-07,3.3503174708950035e-07,5.778790267895529e-07,1.1611192606914478e-06,7.390404585818112e-07,5.48782953720517e-07,4.3355161647313164e-07,3.7487924126332765e-07
APH141,,,,,,,,1.4575135403522412e-06,1.0895593229231898e-06,8.538808530995361e-07,5.362731229557449e-07,7.273034675717882e-07,4.482247422117071e-07,3.675690663425346e-07,3.538543298600777e-07,5.931730809169464e-07,5.744603138313724e-07,3.792059439156957e-07,5.511373012320762e-07,9.712177788376606e-07,6.078542766975983e-07,2.0894937575472275e-07,8.40848548067608e-07,3.3503174708950035e-07,5.778790267895529e-07,1.1611192606914478e-06,7.390404585818112e-07,5.48782953720517e-07,4.3355161647313164e-07,3.7487924126332765e-07
FACOAE141,,5.026221449657595e-07,5.717088393889914e-07,,5.261283851789655e-07,,,4.2358308617207084e-07,3.817255774325017e-07,4.308111466454143e-07,4.18263281848398e-07,3.1552336139663416e-07,4.939549777097087e-07,3.537411473866713e-07,3.5348376092068833e-07,3.040096065350281e-07,3.7177240191382994e-07,4.113798385288998e-07,3.1725515490262406e-07,5.160169335250568e-07,5.094880414927591e-07,4.2342679401224136e-07,4.763508951563745e-07,4.2040466336124124e-07,4.4780854368287234e-07,1.202683053078496e-06,9.909391809662701e-07,8.077767060402951e-07,7.479469855218928e-07,7.914229136361903e-07
FACOAE140,,5.026221449657595e-07,5.717088393889914e-07,,5.261283851789655e-07,,,4.2358308617207084e-07,3.817255774325017e-07,4.308111466454143e-07,4.18263281848398e-07,3.1552336139663416e-07,4.939549777097087e-07,3.537411473866713e-07,3.5348376092068833e-07,3.040096065350281e-07,3.7177240191382994e-07,4.113798385288998e-07,3.1725515490262406e-07,5.160169335250568e-07,5.094880414927591e-07,4.2342679401224136e-07,4.763508951563745e-07,4.2040466336124124e-07,4.4780854368287234e-07,1.202683053078496e-06,9.909391809662701e-07,8.077767060402951e-07,7.479469855218928e-07,7.914229136361903e-07
GLCRAL,,,,,,,,5.047826448943148e-08,,,,,,,,,,,,,,,,,,,,,,
NNDMBRT,,,,,,,,8.09347199788576e-08,8.481715409584582e-08,,1.3564349552568613e-07,1.2600806711368008e-07,1.5494337714067632e-07,1.2690780634851115e-07,6.360133217625054e-08,1.2295593537413923e-07,1.506531179044815e-07,8.270291986178455e-08,1.1655759847867044e-07,7.306226967634842e-08,1.0662654611863045e-07,1.4752077525089645e-07,8.229705770592878e-08,6.587416378992357e-08,7.958226494635662e-08,,,,,
SERASr_reverse,,,,,,,,,7.347110581548308e-08,5.878940757034298e-08,7.239424624104764e-08,5.757373582265648e-08,6.432827141356216e-08,5.051746896483039e-08,,8.404485679431947e-08,6.055477676904576e-08,,6.633176764650382e-08,4.77078044304806e-07,3.006717101393249e-07,7.569165888443782e-08,1.3557032001890682e-07,5.477330470480871e-08,8.010572138882151e-08,,,,,
DINSt2pp,,,,,,,,,,,,,,,,,,,,,,,,,,1.1784794403204207e-07,,,,
PYNP2r,2.2526418154396028e-05,2.193264496392304e-05,1.727326681601774e-05,1.5552616586220137e-05,1.3863866326625007e-05,1.172773037004825e-05,9.561907250122846e-06,1.6413513540738512e-05,1.3280658376167249e-05,7.4417781490640305e-06,6.7932012797915545e-06,9.824247257158764e-06,5.296032259889827e-06,7.373668445511645e-06,5.1374312502956075e-06,5.811079577363724e-06,6.212516016785019e-06,4.77774710860437e-06,7.444478257768409e-06,5.712077139339913e-06,4.566653371165337e-06,3.058336360417065e-06,6.80616588886407e-06,4.155682247552458e-06,7.388418828475084e-06,3.551953135321345e-05,3.219986245326389e-05,1.9033348709677177e-05,1.690378302249526e-05,1.308248041031024e-05
CDGR,,,7.088044337525603e-07,5.561797145398606e-07,,,5.852267510894759e-07,7.343978354102491e-08,8.62444821311153e-08,7.108463610945423e-08,6.169591248103788e-08,7.85191699402216e-08,1.0309430731547729e-07,1.0458106614327045e-07,9.628941335607141e-08,1.107986240508293e-07,1.2114767426630618e-07,7.021838137147137e-08,1.0434252677162957e-07,9.910569535214386e-08,8.226043248428173e-08,1.0432408415533007e-07,1.2650253068903821e-07,1.207494671999554e-07,9.932163853479093e-08,3.5007179617033156e-07,3.7920670633026003e-07,3.0010467045563574e-07,2.850088620826158e-07,2.9456954071886177e-07
ACODA,1.1183412996684197e-06,1.1354755964762946e-06,1.0983474847924673e-06,1.1274951977130116e-06,1.3872455349948466e-06,1.4162552901566565e-06,1.4782696541205414e-06,2.537711323002001e-06,2.0571425788323313e-06,3.004134173056179e-06,1.751179405219757e-06,1.6238477201255442e-06,2.6746350720426713e-06,1.8047217206894586e-06,1.8039686042042675e-06,1.8479497328692484e-06,2.6255842161513447e-06,2.242756803055253e-06,2.444136706342975e-06,4.734059934269721e-06,2.767889509427263e-06,3.799643316425022e-06,4.262290331123942e-06,3.1167914352866994e-06,3.7276684123260637e-06,1.9305526134642725e-06,1.9874134916693137e-06,2.1787780224779632e-06,2.611725806616174e-06,2.9901777225277833e-06
LALDO2x,,,,,,,,1.9627199272359743e-07,1.5226445176247967e-07,1.1671359535460037e-07,1.2323867908003065e-07,1.1011553552097299e-07,8.542214764679531e-08,8.019400563515036e-08,,6.508866994422959e-08,6.770241330930141e-08,,8.763799532540057e-08,7.55511843184951e-08,,9.486262679477533e-08,6.218648705199667e-08,,7.274355981092814e-08,3.327116165413587e-07,,,,
DKGLCNR2x,1.8599432032638847e-06,1.855752245835226e-06,1.9407936356350867e-06,2.1579958320480124e-06,2.1590296476894595e-06,2.242335523963427e-06,2.2616802822814637e-06,1.0376646804619174e-06,1.5383693180133586e-06,2.390784420488441e-06,1.8642448221353614e-06,1.6544586648819457e-06,2.8079411238486864e-06,1.8922259012454019e-06,2.215085587014199e-06,2.3259068412292653e-06,2.202444132968211e-06,2.9072963976579536e-06,2.325147317172245e-06,4.11927998204615e-06,3.5847404736117847e-06,3.1674797636773974e-06,3.13893205866933e-06,2.849979822207253e-06,2.8053550463946103e-06,3.3897637701616196e-06,4.971301294041672e-06,7.140568957244632e-06,6.612265983550179e-06,8.220825004417939e-06
DKGLCNR2y,1.8599432032638847e-06,1.855752245835226e-06,1.9407936356350867e-06,2.1579958320480124e-06,2.1590296476894595e-06,2.242335523963427e-06,2.2616802822814637e-06,1.0376646804619174e-06,1.5383693180133586e-06,2.390784420488441e-06,1.8642448221353614e-06,1.6544586648819457e-06,2.8079411238486864e-06,1.8922259012454019e-06,2.215085587014199e-06,2.3259068412292653e-06,2.202444132968211e-06,2.9072963976579536e-06,2.325147317172245e-06,4.11927998204615e-06,3.5847404736117847e-06,3.1674797636773974e-06,3.13893205866933e-06,2.849979822207253e-06,2.8053550463946103e-06,3.3897637701616196e-06,4.971301294041672e-06,7.140568957244632e-06,6.612265983550179e-06,8.220825004417939e-06
GLCS1,1.5524227869009917e-06,1.6185957202411996e-06,1.5211632714791485e-06,1.4159798320502324e-06,1.3878041630644374e-06,1.4107006696576123e-06,1.3831498591148683e-06,1.3552857854051242e-06,1.1917705254488456e-06,7.732104925179232e-07,9.101022210279061e-07,1.1076339729698173e-06,8.560128457282182e-07,6.120934269044568e-07,6.302012405026088e-07,9.358440898118844e-07,7.430873550890834e-07,8.093602410903336e-07,1.0651430292046174e-06,3.531373093712422e-07,7.207932874883398e-07,5.858661967867093e-07,6.430573933098491e-07,8.1457865969594e-07,8.333764277874994e-07,3.9027193386768365e-06,3.7699768637167478e-06,3.7306271232244092e-06,3.2353336505056266e-06,2.630193012192502e-06
GPDDA5pp,,,,,,,,1.7328398979766537e-07,1.6975526819468056e-07,9.535632800332936e-08,2.0228383219846677e-07,1.8454625736016833e-07,1.7404460666867083e-07,2.0924137537511317e-07,1.255253523110544e-07,2.503676309805185e-07,1.188604305734244e-06,1.4337205881547437e-07,2.0142709363157173e-07,1.4666560775316354e-07,9.539035900227274e-08,2.9091323670964064e-07,8.131814863054523e-08,1.4062221493425752e-07,2.0899420607703286e-07,,,,,
GTPDPK,2.792897224797895e-07,3.134291557582864e-07,2.737763775463469e-07,2.726133520745298e-07,2.494326154044785e-07,2.1594329134530994e-07,1.9955702051026478e-07,2.520735159550939e-07,2.3529139781408916e-07,1.0703679511548502e-07,1.1435621792141312e-07,1.933311791772452e-07,1.6196795997025493e-07,1.0503671390256109e-07,9.359791263840119e-08,1.3632321607085914e-07,1.1268487260264353e-07,1.2088082916880334e-07,1.8653705216326457e-07,1.3721494635834583e-07,1.2794464109701698e-07,1.1392728619544367e-07,1.1235128370454627e-07,1.2379242857244476e-07,1.5524704942007273e-07,6.862554486374849e-07,7.750188018708421e-07,6.433330334968649e-07,4.819085226280388e-07,3.942521953420365e-07
UGLT,3.156778984390622e-07,3.241765645505642e-07,3.033224381278728e-07,2.7958175363064205e-07,3.6296221153186484e-07,2.564832016611738e-07,2.3497766286494194e-07,2.0268109031354626e-07,2.2067942945302497e-07,1.8011143673293613e-06,2.2324294005550028e-07,2.403588155393058e-07,3.459154169316268e-07,2.3715475332469985e-07,2.256179732029642e-07,2.876846229255282e-07,2.8020641274212834e-07,2.6209906684014736e-07,2.0447618503777022e-07,2.3752902780486513e-07,2.453204127715853e-07,2.669052316093566e-07,1.9689811489951446e-07,1.8655563185306356e-07,2.8427061964182335e-07,,,,,
3OAR121,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
3OAR120,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
ADNUC,,,3.6310144612426325e-07,,,,,7.492552889142216e-07,7.930137795955009e-07,3.1264033901951187e-07,4.6258807570888825e-07,7.998681797648742e-07,5.122913529468036e-07,7.252921789299629e-07,5.037007067721086e-07,2.9505967434440823e-07,4.045943489066838e-07,5.996199944530721e-07,5.458060677917903e-07,1.1449007353874596e-07,1.1187490960315708e-07,7.501837165653323e-08,,1.460281463110822e-07,8.719771189963623e-08,1.2581349891687224e-06,1.3120270250604034e-06,9.434377039525007e-07,5.026400994603195e-07,1.6957624739025696e-07
UAG2E,,,,,,,,,,6.525578702424593e-08,8.009529630960272e-08,6.86649616967225e-08,1.067978123029915e-07,1.0644327872471906e-07,1.0073624062874395e-07,1.2272546501729922e-07,1.0652837499597003e-07,9.284303356689388e-08,9.607443841862484e-08,1.9253017249938774e-07,1.281249972305059e-07,2.062385087581593e-07,1.5798218569216166e-07,1.1547953409676153e-07,1.813016717014707e-07,,,,,
DHNCOAT,,,,,,,,1.199719507540003e-07,1.4341017954368911e-07,1.4287510941282044e-07,1.3286499166572447e-07,1.9603584484407795e-07,1.2245719752193746e-07,2.666331822735892e-07,1.9848842611398399e-07,2.9707628996675814e-07,1.8865948393453412e-07,,1.6827991589056637e-07,2.0349582541551205e-07,,3.4240199155940106e-07,2.8237233363958277e-07,,2.8638133110337546e-07,,,,,
MICITDr,0.00011220816844571142,0.0001114973985151465,0.00011300423224933244,9.939538971918095e-05,8.124338318673376e-05,6.74958967058125e-05,5.881020713805643e-05,3.6450656703985934e-05,3.969798434094371e-05,2.9315695557336825e-05,4.99779990723211e-05,4.2480275686494595e-05,3.2999879913800467e-05,3.861412690112206e-05,3.8123995958980436e-05,2.6413400951183295e-05,2.0570307091568396e-05,3.1481850913194424e-05,2.943067202632968e-05,5.076141412658096e-06,1.2079261862351514e-05,1.3457842292207461e-05,7.983999592671607e-06,1.4929839479837706e-05,8.175764860709057e-06,4.55536145400373e-05,5.9616718662258914e-05,4.6866044119987653e-05,3.1411760617469766e-05,2.3347328187796318e-05
DHNCOAS,2.1755401581349437e-06,1.9808308399447004e-06,1.940317946995108e-06,1.959650778849109e-06,1.7362814092559081e-06,2.048828348469285e-06,1.996475575200916e-06,1.1357344671378694e-06,9.790018801912972e-07,1.1581649905008004e-06,1.0700959117987678e-06,9.844773363265964e-07,9.362822907836893e-07,1.0604310112742904e-06,1.1218096976735902e-06,1.071322247907663e-06,1.0118384890026952e-06,9.833241842981018e-07,9.70546371283476e-07,9.824720015673673e-07,1.1080900485423774e-06,9.883324963091825e-07,1.4232822740773886e-06,7.997038485175704e-07,1.2842581673583914e-06,4.422618979043642e-06,4.027410715837981e-06,4.478775386191277e-06,4.606838160555728e-06,4.8259789787707346e-06
GGGABAH,1.3747432366118537e-06,1.116651984322421e-06,1.0058591096217467e-06,1.1328374858786642e-06,,,,2.419566759577366e-07,5.936233106685296e-07,,9.394405964311228e-08,8.761229784491429e-07,6.779024346710805e-08,1.2458994600777192e-07,6.9432917064536e-08,3.000531987426081e-07,6.690187801679277e-08,2.221485436711452e-07,4.009274607917418e-07,1.410565320016591e-07,5.228524309842855e-08,2.016140885875511e-07,,7.964398899504309e-08,,,,,,
MG2uabcpp,,,,,,,,3.583003359273444e-07,1.9743091687855038e-07,1.842235076110167e-07,,1.0801889546916468e-07,2.1898986013127547e-07,1.944625393563824e-07,1.5920811853870995e-07,1.8080399494097887e-07,1.4834681384749234e-07,9.425350051083769e-08,8.069803881190566e-08,1.3829708315927911e-07,1.2238967218555924e-07,1.1576996702970902e-07,6.996623812478167e-08,1.125045718610876e-07,7.502312818940432e-08,,,,,
G6Pt6_2pp,,,,,,,,6.642155684128759e-08,1.6065907596991214e-07,,,2.0704320511607164e-07,,,,,,,,,,,,,,,,,,
EAR160x,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
EAR160y,3.432350734968668e-05,3.5840373412924004e-05,3.531697658681338e-05,3.600462171110296e-05,3.5808803166192245e-05,3.625733722546608e-05,3.8021194095873936e-05,6.450597821037438e-06,6.126478999386302e-06,5.254434223014403e-06,6.330460058200622e-06,6.422784235508054e-06,8.06303355143088e-06,7.866520834886959e-06,6.671489141225686e-06,7.723176892886773e-06,7.28252673704334e-06,4.9606884833067e-06,7.175447382897559e-06,5.8427992648926584e-06,5.62482084195799e-06,8.883723764757712e-06,6.73844942422833e-06,6.107818467033306e-06,6.768849028896958e-06,3.643106658213765e-05,3.391605458783128e-05,3.3213847901679636e-05,3.4959728459380635e-05,4.484848933093354e-05
PPK2r,1.876490313665842e-07,1.9059881719640558e-07,1.5067584844011016e-07,1.5215523353699446e-07,1.4432007432721962e-07,1.3278492744975904e-07,1.6176613691144097e-07,2.5787348443525413e-07,2.451859260585845e-07,1.2593501675893382e-07,1.3643110291906107e-07,1.9689546726531938e-07,1.1358086219860177e-07,9.794445747534174e-08,1.1070259473547931e-07,1.8041987767957885e-07,1.2598900674957267e-07,1.239686081541938e-07,2.1502641542486223e-07,1.1551810349963261e-07,1.5608019792128346e-07,1.0699951498200372e-07,1.873151102668124e-07,1.5578602244409285e-07,3.079781307779755e-07,4.4019377215726045e-07,4.428606983031607e-07,3.90528562610025e-07,3.2994405167297173e-07,3.287867063643736e-07
AM3PA,,,,,,,,2.386726755397463e-07,1.24564611078012e-07,2.290327849535554e-07,2.5634432856039743e-07,4.190135143538928e-07,2.435255806735571e-07,1.9783037062070446e-07,2.510702082504977e-07,5.563362355486865e-07,2.0219234245075145e-07,,2.1762656085714198e-07,1.5178772194424795e-07,,2.963172526178227e-07,1.2521449243195465e-07,,1.4638206128155434e-07,,,,,
UDPKAAT_reverse,,,1.119833792511569e-06,,1.3409549625752047e-06,,,,,,,,,,,,,,,,,,,,,2.190502433647675e-06,,,,
FUMt2_2pp,6.099376744115385e-06,5.111802192448152e-06,,5.711143523861194e-06,2.8948325082243494e-06,2.726944879886433e-06,,1.5514253587570282e-06,1.3654448977403676e-06,5.534218979104401e-07,4.5350871270192707e-07,8.447572432740904e-07,2.5403226330117893e-07,1.1811776674863066e-06,1.1064018312463478e-06,2.406302584040285e-07,1.8570512749789512e-07,3.8906015215919485e-07,4.7934335756956e-07,1.7003976265332338e-07,1.0083711423363713e-07,6.5237988766971e-08,9.486831109506481e-08,1.2447241994059882e-07,9.878129640063363e-08,2.5475183016695956e-06,,,,
HMBS,,,,,,,,3.1346313667204144e-07,3.9060404165189007e-07,4.274868811515064e-07,2.959653560437874e-07,3.5057918306286923e-07,4.4852665837916753e-07,3.6247769790176537e-07,3.8453353731584036e-07,4.3169018422438724e-07,8.303647623366314e-07,3.8433318186057245e-07,3.0951083685252467e-07,3.996331205846777e-07,3.504680385956067e-07,3.969382570196772e-07,4.3133825153215915e-07,3.184059581381339e-07,3.9016079224496416e-07,,,,,
GTPCI,1.1199469691769567e-05,1.0723530513912782e-05,1.175515675851349e-05,1.1867146123677315e-05,1.1665958369481521e-05,1.2764079407691877e-05,1.2851934090055499e-05,3.4281256621411275e-06,5.04964466877755e-06,7.891806282537243e-06,6.388764883293517e-06,6.685472267599118e-06,1.0270000480077398e-05,9.620150574219439e-06,1.0227273647322264e-05,1.119713340498835e-05,1.3041920717904366e-05,8.114111362682843e-06,1.0803492034628927e-05,1.831163037558017e-05,1.8056408411080045e-05,2.511781278697514e-05,1.6866191196616188e-05,1.4962037071119801e-05,1.1489277912895235e-05,7.306320933180392e-06,8.79662945512616e-06,9.356331710236495e-06,9.626496360752307e-06,1.12199092538858e-05
PPPGO3,4.1288718373893554e-07,,1.014661568393723e-06,6.446148724899306e-07,7.957509724846682e-07,5.674788733327776e-07,6.900013356685706e-07,1.704237313690931e-07,2.742163267759305e-07,1.6307116073539757e-07,1.6874488403058336e-07,2.843672902267625e-07,2.888532612816116e-07,2.0973664467868997e-07,1.4998290231075335e-07,3.3514231057149793e-07,2.8916478387258207e-07,2.0209704063021475e-07,2.670293240704575e-07,2.1002471744780984e-07,2.3047710298544962e-07,1.8696123233815268e-07,2.471659546126307e-07,1.7038883707520104e-07,2.389663088310712e-07,2.9809189600589973e-07,3.1001758462058546e-07,2.918522952117182e-07,2.763539319487511e-07,3.124329139602687e-07
PG161abcpp,2.7946774067961086e-07,2.9335554296290393e-07,2.84607669414263e-07,3.087638300289294e-07,2.8595354510068743e-07,2.8327742275840593e-07,3.422109212519997e-07,3.361863008545872e-07,3.321319762070356e-07,1.5482880382584518e-07,1.7869936636351688e-07,3.1843769106864765e-07,2.3577639904207358e-07,1.8053556653980368e-07,1.9441216778070082e-07,3.031453426968781e-07,2.2355901061508902e-07,2.4625990426694085e-07,2.8349067644748044e-07,1.6046285196506343e-07,2.530937621249562e-07,2.6853529542428365e-07,1.4055073461296348e-07,2.9039031377018696e-07,1.1380956200688387e-07,3.46599760244537e-07,3.459959279096163e-07,3.1449600777124805e-07,3.074512971971721e-07,2.499362672959662e-07
DHBD_reverse,,,,,,,,5.6993297576734806e-08,,1.3010173309718818e-07,1.1422495002251733e-07,5.283532930556967e-08,2.4010386410900597e-07,1.4663933540300966e-07,2.7275824301897073e-07,1.5748807717399902e-07,1.6706409140090846e-07,1.833797630767986e-07,7.981885294631466e-08,1.639040469920314e-06,6.499674338672538e-07,2.5094123707403866e-07,6.326328703491857e-07,2.551327613313996e-07,2.415498196600109e-07,,,,,
FCI,,,,,,,,6.112478197356131e-08,,,,,,,,,,,,,,,,,,,,,,
NTP11,,,,,,,,3.634646914233777e-07,3.800563293912544e-07,4.879839593522816e-07,5.13848190227708e-07,4.826465399262754e-07,4.1308170031931677e-07,6.476537629012688e-07,5.548587240362318e-07,7.74015487584065e-07,5.444974214546207e-07,,5.198046134689927e-07,5.161431828184989e-07,,7.357966315901064e-07,7.734412126135658e-07,,6.477351333210779e-07,,,,,
