,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b3755,1.1374847280229688e-06,2.2164699578242745e-06,6.626579553834301e-07,5.217257443374104e-07,3.26479901219805e-07,3.1840295294095234e-07,3.082364226870297e-07,,,3.630932343371193e-07,,,3.2799442308778286e-07,3.39044283792225e-07,4.1865190957029267e-07,,4.704480289188823e-07,5.207435598512532e-07,6.577485488519295e-07,5.285982609960761e-07,,5.283921600719897e-07,4.492553898125918e-07,4.98911993668698e-07,6.592587383134793e-07,6.139566165056336e-07,,1.8184159169333564e-07,1.6684013212264704e-07,1.1560211148812613e-07,1.421763875132019e-07,1.2195045195459218e-07,1.9534851154013736e-07,1.5108388213330755e-07,2.121866824911678e-07,1.4671857849158188e-07,1.282948675422803e-07,2.0133506256280875e-07,1.6317577712300937e-07,1.633473203999755e-07,1.4186692775834323e-07,2.865317892737959e-07,1.7673097520576112e-07,2.800520506384421e-07,1.9959440831767614e-07,1.7790274169330326e-07,1.8310844071255906e-07,8.824338650050857e-08,7.591969163869992e-08,2.1287848830987073e-07,1.5738183197403735e-07,3.065844904848441e-07,1.4608772353645718e-07,,,,,
b3764,1.7025159490691267e-05,2.6613790684402762e-05,2.237325027657778e-05,9.979136133934462e-06,2.5010090878416876e-05,2.551217607869519e-05,2.4937868374494794e-05,2.5049195182034154e-05,2.3586391915178422e-05,2.7480008294379328e-05,2.5525421403221156e-05,2.7812900127984004e-05,2.6308793132719436e-05,2.5938262962082266e-05,2.7509714601075813e-05,2.818652244670066e-05,2.4488021803589255e-05,2.4281804310366414e-05,2.307606823959375e-05,2.6823760481404504e-05,2.843270330608549e-05,2.989562075959318e-05,2.768336599117041e-05,2.95164682259938e-05,2.5558793733409323e-05,2.7946246286431322e-05,1.312088577993312e-05,1.0149320813991386e-05,1.0469351951499409e-05,6.370086843047999e-06,6.995455660858858e-06,9.750207307282167e-06,7.155741338558677e-06,7.09039636080486e-06,1.183958212372602e-05,1.1421128058973859e-05,1.0276052221922939e-05,9.098393512151045e-06,1.22301398105724e-05,8.971980230426379e-06,9.822208372135896e-06,1.470591448364363e-05,1.2274948267186956e-05,1.004842207860802e-05,1.2317200723308858e-05,1.1204744766384597e-05,1.4212855554423474e-05,8.371279894535703e-06,6.985393428745813e-06,1.1571521768461619e-05,5.978784719651646e-06,8.594734571650031e-06,6.604404622058309e-06,1.4082326118216592e-05,1.4166510409576801e-05,1.6155735398250878e-05,1.6815724140319307e-05,1.8125637752207486e-05
b3769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.702833028607757e-07,,,,1.1608076499681514e-07,,,,,
b3770,6.629991860254405e-06,8.202031737517642e-06,5.738441245292707e-06,4.890362137326046e-06,5.66746188163076e-06,6.226424444060062e-06,3.6107630523741976e-06,3.188849853162344e-06,3.948432458569445e-06,5.897522385396231e-06,7.108731215104709e-06,5.107551750109882e-06,7.983428103951296e-06,8.089814646701098e-06,5.359860126796034e-06,6.202460897485447e-06,8.93659798692332e-06,1.1147141420918877e-05,1.0676109884026436e-05,7.2985133564917495e-06,6.567961283945514e-06,7.733961060096213e-06,8.147048012505902e-06,8.268427918418024e-06,8.25689540319032e-06,8.09140192556698e-06,7.678026696591615e-06,6.097322800265848e-06,5.982091463018461e-06,2.1045410743193455e-06,2.224188342960059e-06,2.6365068397367535e-06,2.7448773998611547e-06,3.008489776740277e-06,3.964561833644974e-06,3.424192911069063e-06,3.836461222241448e-06,3.5222976694487683e-06,3.6195059628931324e-06,3.1218970371425885e-06,4.426495066345964e-06,9.32307746598768e-06,7.251687272867804e-06,4.622719234453505e-06,6.029839470554638e-06,5.002883493135587e-06,4.4467455930476005e-06,3.6934243421451222e-06,1.597740642490603e-05,2.134355486014426e-06,9.441958252035744e-07,1.629315112260644e-06,1.8842523380831213e-06,3.868049298780134e-06,6.582275644249112e-06,7.892893727194702e-06,1.0944461070439431e-05,9.889968536222748e-06
b3771,2.6435548631624176e-06,3.455933771677168e-06,2.663558462136537e-06,1.9488992210578165e-06,1.1195880000482e-06,1.1263371719341818e-06,6.361226179657676e-07,6.830856219979844e-07,8.014468902945398e-07,1.2517454869324847e-06,1.241703367215317e-06,8.761432945888255e-07,1.3637252982354407e-06,1.4467047920903029e-06,9.470060199216089e-07,1.0108181940622409e-06,1.5489851961922132e-06,1.732647969840661e-06,1.736628047861693e-06,1.0104797663630112e-06,1.0911540950768943e-06,1.1579835987053135e-06,1.085368312324346e-06,1.1621296196260146e-06,1.2614013181468755e-06,1.2947653720374751e-06,1.1550674349719197e-06,1.8056159294170655e-06,1.743786014289239e-06,7.345037709076037e-07,9.27037462907248e-07,1.011965615594072e-06,1.1029566424890225e-06,1.0683429383989296e-06,2.001019846949529e-06,1.3444976730337817e-06,1.4019403122235707e-06,1.725646796839489e-06,1.353571757083344e-06,1.5333109906156395e-06,1.5737426994078869e-06,3.7560246935861818e-06,2.662940275350079e-06,2.1242034859542065e-06,1.9642411682090774e-06,2.0655927792573535e-06,1.9585038366365625e-06,1.5134554281177324e-06,8.592258364451708e-06,5.066489628274732e-07,2.121264420076367e-07,5.805376376179077e-07,7.893907500747824e-07,1.2826405180942579e-07,1.7163934120123633e-07,3.124329139602687e-07,2.3146906171963856e-07,3.9571145681809515e-07
b3772,1.1436306537418406e-06,9.924715231141288e-07,1.2042184862279205e-06,9.778805675422552e-07,4.445060975086548e-07,3.775073336248475e-07,2.2507104912884304e-07,,,3.813651005808146e-07,4.984155040665197e-07,,4.6183570305146793e-07,5.50247065490876e-07,3.726348405214799e-07,,6.018974977505908e-07,6.331043278486665e-07,6.885898326268534e-07,3.540138961496141e-07,,3.707931668498537e-07,,3.99084662449933e-07,4.963909452480823e-07,4.06518244480988e-07,3.998585160531525e-07,2.2109069346318734e-07,1.5781409669961228e-07,1.5659914896432757e-07,1.9126195672611442e-07,1.8076262846667427e-07,1.366061267842555e-07,2.0601585149068558e-07,3.027816604737846e-07,1.8358642544983659e-07,2.0929343624144265e-07,2.8393947962687823e-07,1.908514258068792e-07,1.985708732703553e-07,2.67197678810677e-07,4.398345027393505e-07,4.14296074237324e-07,2.476988275291294e-07,3.224045626697414e-07,2.8614036771922415e-07,3.613538022177024e-07,3.1203035907032147e-07,1.7902036705413119e-06,1.2705967169319016e-07,8.5316893342237e-08,1.1458504428596072e-07,2.3981330442123896e-07,,,,,
b3773,1.0542566436911427e-07,1.6814889227124167e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3774,4.6324971738536966e-05,7.408850221443844e-05,4.2274525783861615e-05,3.460310917500874e-05,0.00011761845652697306,0.00011676516134113343,2.150326841228072e-05,2.3645142178068467e-05,2.3492315110500564e-05,0.00012002939922700674,0.00012270457910520363,2.9204868508411274e-05,0.00012123413688417814,0.00012149318848632568,3.012408317234142e-05,3.103503164155178e-05,0.0001229389631481673,0.00012277873538854073,0.00011995955266547218,3.133110269362949e-05,2.9042168933673468e-05,2.5826530617347698e-05,2.4517742090550105e-05,2.0680224389958364e-05,1.9652841020080635e-05,1.644184072321789e-05,1.2817490928435742e-05,5.9329860563650614e-05,5.413473246087814e-05,1.8003340517286562e-05,2.802060242039369e-05,3.0912117138431745e-05,3.4138404906174295e-05,3.740301020423453e-05,2.8338093010766934e-05,3.953073170663765e-05,4.831826946706866e-05,4.030842035334068e-05,5.5398452708541214e-05,4.5465163014360744e-05,5.0239186974890694e-05,7.51449862346514e-05,5.292559755038086e-05,5.906830353598186e-05,3.3958922561888235e-05,6.084176867141011e-05,5.7449530303130955e-05,5.8253147838164846e-05,2.580541732863915e-05,2.725141574012325e-06,1.3652725225871723e-06,4.013936739185036e-06,1.9928082811692254e-06,4.337000585887998e-05,5.252516076286536e-05,5.968993333286806e-05,6.221032949882746e-05,7.333568867293692e-05
b3775,4.443672720688349e-06,5.095626619496996e-06,5.095161697392281e-06,2.2359201770425734e-06,4.996976795060558e-06,4.837281062572768e-06,4.632150772420182e-06,4.807081466539689e-06,5.318125218000171e-06,6.445928710411181e-06,4.786543161204637e-06,6.231641415124276e-06,5.474445793517589e-06,4.533427382884913e-06,4.9165741948268285e-06,5.720169242902757e-06,4.232513206619156e-06,4.73248934971535e-06,3.860148341977622e-06,5.803255458486543e-06,5.7539261850763716e-06,6.230467096736354e-06,5.268667494443103e-06,4.795702268038284e-06,4.190575871197328e-06,5.0798579316657275e-06,3.0035206179889498e-06,6.453143583458237e-07,4.928781433791e-07,1.7597475143047032e-06,2.19552082225168e-06,2.7914494882712932e-06,1.9956002329637837e-06,1.9904871659852647e-06,2.052466361884781e-06,2.4092672434074057e-06,2.3606021584238903e-06,1.675442670774509e-06,2.487568119650035e-06,1.7883958434642824e-06,2.163526766561473e-06,2.1768624599841775e-06,2.476289712802429e-06,1.9270897909426496e-06,1.6806838393729774e-06,2.5710473629904624e-06,1.286588392811945e-06,2.1325680757361077e-06,2.4343625670009565e-06,3.302001154720929e-06,2.4047301550808517e-06,2.3174470390826794e-06,2.891989876085398e-06,7.5454888571702694e-06,7.537186162565108e-06,7.855908996680803e-06,8.023522788982566e-06,8.323476501354473e-06
b3778,9.356088552807585e-08,1.0260361902615449e-07,5.749715297482979e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3779,5.04308383018926e-07,4.333402630916364e-07,5.571611255166065e-07,3.11831377974909e-07,,,,,,,,,,,,,,,,,,,,,,,,8.202055882674145e-08,,5.397413590213082e-08,7.441459383879682e-08,7.042433679902047e-08,,6.6274792037661e-08,7.855858677319559e-08,6.184923063066685e-08,7.058363113948196e-08,8.527403203079946e-08,5.7505118511870026e-08,5.235882020288595e-08,5.98220510246811e-08,,,1.0691092455727949e-07,,6.633315796342756e-08,5.678658116159502e-08,,,6.106642064212056e-08,,,,,,,,
b3780,3.0649931209244313e-06,5.495555323309943e-06,3.059004699663286e-06,1.6173814537585198e-06,1.66177801306467e-06,1.6978494951751621e-06,1.5534988244843953e-06,1.5280594468623372e-06,1.5037099128557492e-06,1.712553649952338e-06,1.7844455015495599e-06,1.6041943477343682e-06,1.7020147572922167e-06,1.8360839550785179e-06,1.536780304493401e-06,1.6778082076320425e-06,1.88018118722463e-06,1.9518670117147588e-06,1.968638255879086e-06,1.7871010950562443e-06,1.7754204021003578e-06,1.6303461798642961e-06,1.6325548193778154e-06,1.697950498046286e-06,1.7640198665347808e-06,1.6548663633552739e-06,1.7897999126511942e-06,6.194627865070273e-07,5.990205460018962e-07,9.784202535663992e-07,9.653817838547428e-07,8.003966089544023e-07,7.631915641803282e-07,9.36401379938632e-07,8.357643347638741e-07,7.593667070160445e-07,8.042126129885049e-07,8.395458923789047e-07,7.852679408586453e-07,7.120380219582129e-07,1.0011308157566942e-06,7.369712326622931e-07,1.0343063543320733e-06,8.803407685702666e-07,8.676053961280917e-07,9.68885700914298e-07,8.502114624048381e-07,7.781386022679327e-07,8.797359512299454e-07,7.988822662574834e-07,7.529108774981682e-07,1.100422264282524e-06,1.0341321203792624e-06,2.599498201834028e-06,2.4607174035247315e-06,2.6659197586753153e-06,2.537454429420916e-06,2.765552093937247e-06
b3781,2.626394895530594e-05,5.5704572524856965e-05,1.6973503755240523e-05,1.0682658676343869e-05,6.385077761160607e-05,6.348804129557378e-05,5.745474997947569e-05,5.627107925956782e-05,6.57261073522123e-05,6.149772650033187e-05,5.744894281384269e-05,5.5868284526305634e-05,5.84229747692865e-05,5.107542852167375e-05,5.1437959832553975e-05,4.982032519988845e-05,4.555554059094082e-05,4.2805186320052324e-05,4.0886591344591514e-05,4.3998771595070715e-05,4.488594949783545e-05,4.195866162626863e-05,3.6819370744448373e-05,3.493464679193214e-05,2.9030076679638172e-05,3.3334925577612136e-05,1.730524832087717e-05,5.127470576620641e-05,4.8292434473314e-05,2.722219178744379e-05,2.774036228546891e-05,4.6883072556135496e-05,2.4368791530852494e-05,2.674853541936071e-05,3.502249683059565e-05,2.8843909727918846e-05,3.4761804468272225e-05,3.8477256544794595e-05,3.47699733857172e-05,3.7885123053965794e-05,2.7944511204000455e-05,4.4201464768096424e-05,3.8683919754337635e-05,3.712172674669242e-05,4.79110216579916e-05,4.288617160069732e-05,4.136628045132196e-05,4.018099956695911e-05,3.7783770698524545e-05,3.340846913307969e-05,2.989532730620781e-05,3.0780001388942536e-05,3.413566212966296e-05,4.6953851405357385e-05,4.631932426007811e-05,4.5303929869547555e-05,4.093459909406067e-05,4.143432067056888e-05
b3783,1.330970159243115e-05,1.97907830124582e-05,9.922973121029466e-06,5.424117622431352e-06,1.5199894711124947e-05,1.5572991357313524e-05,1.4855999927958172e-05,1.5848676367348154e-05,1.6924186875557796e-05,1.6380921822313834e-05,1.658446750509719e-05,1.72241528332152e-05,1.699900753048699e-05,1.768413493222572e-05,1.7968309143324158e-05,1.933360008759115e-05,1.7961543779305282e-05,1.852851759794895e-05,1.799345349185437e-05,1.953460304907944e-05,1.977084995652213e-05,1.9329664863650938e-05,2.037837865078024e-05,2.0250369712303826e-05,2.1074188576483037e-05,2.065855902453e-05,2.161249078920635e-05,4.704357082645437e-06,4.8085810596208286e-06,4.866226522603152e-06,4.472375150513125e-06,3.862546045561796e-06,4.511086979504482e-06,4.63946607304197e-06,4.716594751299832e-06,4.740163072216822e-06,5.206298562136865e-06,4.391017267831003e-06,4.922948962374152e-06,4.847222135775655e-06,5.217799757542356e-06,4.26533237894545e-06,4.919159434069366e-06,5.745797766768339e-06,5.15740822442334e-06,5.318620485153716e-06,5.373347924668929e-06,5.212515538722114e-06,5.290554897916922e-06,5.3489875148166585e-06,5.585877347900289e-06,6.959707214884599e-06,6.369369348727612e-06,1.257465741664185e-05,1.4155440150103252e-05,1.4470288393403205e-05,1.4038145719044888e-05,1.3690942126465429e-05
b3784,3.4482539646545834e-07,4.871498777998843e-07,2.1500066931400536e-07,1.1193806874763273e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3785,1.5845654611544465e-06,2.6493126766721867e-06,1.324384354446005e-06,7.674088835846614e-07,7.141491957981548e-07,6.556352629489449e-07,6.050978471087375e-07,6.218191219106546e-07,,7.462595832973778e-07,7.260131017133759e-07,6.482527686245814e-07,6.524812225643655e-07,8.170317731120518e-07,7.224951054496954e-07,6.617613878033374e-07,5.981679936246791e-07,7.28402934427453e-07,7.117589545034444e-07,6.907744655782333e-07,7.03902760541176e-07,7.213370334459906e-07,7.520913370278408e-07,7.205092617847249e-07,5.744649119754606e-07,7.487675902845955e-07,7.345471180663008e-07,1.2774827835668096e-07,1.986985777098745e-07,2.9047513374610936e-07,2.3577523782604479e-07,1.4572122713020724e-07,2.439832680810406e-07,2.611574848532444e-07,2.436463471405413e-07,2.2681353026601692e-07,2.3891944776420395e-07,2.532485104410185e-07,2.2264411313793628e-07,1.8671532679558457e-07,2.8074088235722776e-07,1.8369272195843215e-07,2.517050198970918e-07,2.476102371044051e-07,2.2088997416812524e-07,2.1703624493056884e-07,1.915006294836899e-07,1.5339018619029668e-07,2.2271292428293397e-07,2.2458463736153373e-07,2.821215062053113e-07,3.51355819591151e-07,2.306380997908485e-07,,,,,
b3786,5.642173962354504e-07,1.192902068546043e-06,5.093783386691322e-07,4.038369384989644e-07,,,,,,,,,,,,,,,,,,,,,,,,1.867477294145671e-07,1.3032714562040518e-07,,,6.525578702424593e-08,8.009529630960272e-08,6.86649616967225e-08,1.067978123029915e-07,1.0644327872471906e-07,1.0073624062874395e-07,1.2272546501729922e-07,1.0652837499597003e-07,9.284303356689388e-08,9.607443841862484e-08,1.9253017249938774e-07,1.281249972305059e-07,2.062385087581593e-07,1.5798218569216166e-07,1.1547953409676153e-07,1.813016717014707e-07,1.784324549690953e-07,2.3826359693838012e-07,1.50380002295549e-07,1.6421003844063572e-07,2.420255710714008e-07,2.890939632536511e-07,,,,,
b3787,6.032088367370155e-07,9.740290176277738e-07,4.50842265952484e-07,2.9795771869190705e-07,,,,,,,,,,,,,,,,,,,,,,,,1.0258859773498112e-07,1.2416302386808873e-07,,7.753536191591153e-08,5.432669498948039e-08,8.659305730494608e-08,8.722022615522614e-08,1.2137029931908004e-07,1.1434777680980428e-07,1.3359985446406508e-07,1.192299979385592e-07,1.309637617815906e-07,8.51998275598472e-08,1.0823339187892588e-07,1.1921540423615478e-07,1.5416842290630125e-07,1.9622779076431391e-07,1.263994876284716e-07,1.415232034970616e-07,1.6841788894015722e-07,1.5629193602199942e-07,2.4491598706886346e-07,2.952813691763468e-07,2.989303141100214e-07,3.944850250205172e-07,3.9760374178815646e-07,,,,,
b3788,4.784949390079154e-07,5.345833750122033e-07,3.6884254861864607e-07,2.779807300758924e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.514163336255882e-08,,,,,7.301622805776416e-08,,,,6.759567527030023e-08,6.729148478142773e-08,1.2288171950640136e-07,1.2457313261013746e-07,1.674966150479598e-07,1.384821136604479e-07,,,,,
b3789,2.865136895906107e-07,6.255560483673845e-07,1.7897433592429672e-07,1.1414609418383035e-07,,,,,,,,,,,,,,,,,,,,,,,,5.638913419338478e-08,,,,,,,,,,,,,,,,,,,5.786726542990965e-08,,5.228096346136272e-08,5.633666344952947e-08,,6.739744748358383e-08,6.623459040730983e-08,,,,,
b3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.134701017020151e-08,,,,,,,,,,,,,,
b3791,1.0857729473136197e-06,1.2788422397772846e-06,8.562300561969105e-07,5.450130414432218e-07,1.5771924608996687e-07,,,,,2.134499633968588e-07,1.7949767382844186e-07,,1.2015869887762735e-07,1.5101636978907998e-07,,,,,1.607567261571778e-07,,,1.717619920357114e-07,,1.7839740484945135e-07,,1.9803504350687477e-07,1.8234192087361486e-07,8.771293656740108e-08,,7.304252542594544e-08,6.188313752914251e-08,1.0523804871809653e-07,8.77525904118592e-08,7.661122749307602e-08,1.349967823437927e-07,1.1646752942911283e-07,1.0333022320446959e-07,1.2604807932840925e-07,1.1091225874066012e-07,8.763955416558777e-08,8.202617065141547e-08,6.310661110776184e-08,9.968283497930827e-08,1.391401210719781e-07,7.709338314731098e-08,1.0645264868451651e-07,1.4398429306123122e-07,1.0453008642295562e-07,1.410932146050806e-07,1.4311456971915217e-07,1.428808151050765e-07,1.7730243929026335e-07,1.8423118429550214e-07,3.8474183606703395e-07,3.3215810356768135e-07,3.3708940096953446e-07,3.5580820335207914e-07,3.986802991314557e-07
b3794,2.5590903371935375e-07,7.222445083196181e-07,1.6125561106823577e-07,1.0979966141459293e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.230378675722391e-08,5.310152387870028e-08,,,,,,,6.855866351227766e-08,,,,,,
b3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3802,1.3634256138751928e-06,1.6520077749349123e-06,1.2882263913078782e-06,4.769040510268537e-07,3.2818446686533376e-06,3.273639983067259e-06,3.5164448657742926e-06,3.8658262994262e-06,3.375060848858417e-06,2.8848095020423096e-06,2.9111292495470898e-06,3.037547656507569e-06,2.1880669396220384e-06,2.7105429257820845e-06,2.9585852219805232e-06,2.6404438843968977e-06,2.3026314376636056e-06,2.1441641288948476e-06,2.1597614616799086e-06,2.764687031085965e-06,2.60664500965841e-06,2.480035389733567e-06,2.2756241321658467e-06,2.0005946804618453e-06,2.0142384518886375e-06,1.81748384878089e-06,2.0307275804379156e-06,3.3518984508259613e-07,3.3100704817923856e-07,5.302071642594008e-07,5.019840124041075e-07,3.171941273673308e-07,2.7356230129889993e-07,4.670475379408214e-07,4.0283667837016054e-07,3.622597794081916e-07,3.305865011921026e-07,3.369668675631479e-07,3.360342192125517e-07,3.534744523707754e-07,4.1527502587489705e-07,2.3614028557700083e-07,2.7170651510100947e-07,2.5466203491245904e-07,2.05261776648844e-07,2.740705209344898e-07,3.3690332064708413e-07,8.758420286822004e-07,3.429392399317121e-07,3.0669847751068463e-07,3.0804251995220683e-07,3.786619904477091e-07,4.2245181168656005e-07,7.139814166825981e-07,6.781540314772976e-07,6.495223149298032e-07,5.147670655199788e-07,4.507608380183744e-07
b3803,3.7234625472838744e-06,4.767906614742547e-06,3.015688826265752e-06,1.3689278604065004e-06,1.9646534081366243e-06,2.0771242024259914e-06,2.273750822522103e-06,2.3575197601465934e-06,2.2397603377944595e-06,1.8873846254504533e-06,1.8969817990608836e-06,2.042035043184428e-06,1.7547022571052463e-06,1.695300992818503e-06,1.961155523967114e-06,1.9200487136437567e-06,1.6184160886330806e-06,1.5020624826244698e-06,1.6555732342446642e-06,1.6650980273567153e-06,1.7438771749152125e-06,1.3667221678427677e-06,1.367460907035308e-06,1.1491992697385388e-06,1.360690949460059e-06,1.1706035835982668e-06,1.3399596523395216e-06,9.948137717820118e-07,1.0400382976995172e-06,9.726467689605775e-07,1.034159641554255e-06,1.340885747957037e-06,9.395499863468694e-07,9.422090728821409e-07,1.2107643424941859e-06,1.1487672442602431e-06,1.2337215173691822e-06,1.1150155863919132e-06,1.1855737078411757e-06,1.1721933322378171e-06,8.398282685441161e-07,1.1331054442572867e-06,1.0694938359757558e-06,1.039431453290156e-06,9.160871561247187e-07,8.96075625169203e-07,8.408399035155473e-07,6.765941312787522e-07,7.951596237163216e-07,1.3475866534557454e-06,8.904266732366316e-07,1.1687815270626018e-06,9.307350659343961e-07,2.0033647291834716e-06,1.9403648889067354e-06,1.7902622343176738e-06,1.4855281826276457e-06,1.2139545899970176e-06
b3804,5.849885899755902e-07,5.079637733736276e-07,3.0981753207398287e-07,9.009420003116218e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1491399187056006e-07,1.9377986014833217e-07,1.3566099791220557e-07,8.982005981946845e-08,7.437201591774474e-08
b3805,2.5530129249112743e-06,4.470770767611725e-06,1.7941992593092734e-06,9.497308946501503e-07,,,,,,,,,,,,,,,,,,,,,,,,4.300418410264046e-07,4.6268652663306016e-07,3.1346313667204144e-07,3.9060404165189007e-07,4.274868811515064e-07,2.959653560437874e-07,3.5057918306286923e-07,4.4852665837916753e-07,3.6247769790176537e-07,3.8453353731584036e-07,4.3169018422438724e-07,8.303647623366314e-07,3.8433318186057245e-07,3.0951083685252467e-07,3.996331205846777e-07,3.504680385956067e-07,3.969382570196772e-07,4.3133825153215915e-07,3.184059581381339e-07,3.9016079224496416e-07,3.6266840960159605e-07,3.458247852233533e-07,9.079557224044035e-07,4.2366998834129535e-07,8.58384963756288e-07,5.359589029317059e-07,,,,,
b3806,,,,6.404948854474824e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3807,1.0583669659346384e-06,2.097086395792089e-06,1.3915695213136671e-06,5.059096860802174e-07,,,,,,,,,,,,,,,,,,,,,,,,5.3873166131214796e-08,1.5114678133486182e-07,1.3289608143125246e-07,1.0729152265119117e-07,1.0264238935983972e-07,2.2348359787014256e-07,1.5464817022138167e-07,2.0824164456968524e-07,1.826949407033984e-07,1.564971141926508e-07,2.010469746167588e-07,1.8198835649696214e-07,2.1423849256659564e-07,1.9248558631768876e-07,2.5509571520668284e-07,1.386938666529547e-07,3.503928478695325e-07,1.8027383446142202e-07,2.444228972829732e-07,1.3621687488271988e-07,2.7078525597114815e-07,4.2902230538087266e-07,1.5864393916815956e-07,2.587699917559511e-07,2.089836968003851e-07,4.204667359677838e-07,1.7988668450902956e-06,1.5334825338926055e-06,1.3422186418064433e-06,1.3041268853451898e-06,1.4489963263649372e-06
b3809,3.363661403804126e-07,4.556263358164657e-07,2.4639852876593726e-07,1.4776771831576365e-07,,,,,,,,,,,,,,,,,,,,,,,,9.513504235080254e-08,1.3403819851210593e-07,3.353123330014123e-07,3.699924571425745e-07,3.652365944368209e-07,4.729144837553598e-07,2.1285089805958067e-07,3.681364468567121e-07,5.092358979376334e-07,4.4838841666114683e-07,5.679749885691065e-07,4.4839506562537026e-07,,4.7045796850241715e-07,4.057832647366487e-07,,6.411820579845589e-07,5.405295480459937e-07,,5.298054625412445e-07,5.1862488321530605e-08,8.665164580219336e-08,,5.345986038483172e-08,3.669208061575825e-07,5.1081076344790595e-08,1.2824392406492845e-06,1.3590756278229821e-06,1.296981536048627e-06,1.1504012367466035e-06,1.0859924543550519e-06
b3810,,,8.616177596290147e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3812,2.516203381977159e-06,2.2583831553452488e-06,2.255313106505981e-06,1.1916234801701643e-06,,,,,,,,,,,3.047101972372798e-07,,,,3.194464660728373e-07,1.955499402439294e-07,,,,,,,,2.20996344660856e-07,2.39645957921691e-07,1.5090511598152183e-07,2.158168373328695e-07,2.6268528084393763e-07,3.4313428771368727e-07,2.722277443267923e-07,4.991680635345249e-07,3.7061992525256745e-07,4.088740655452059e-07,3.8853460990609755e-07,3.815313083367922e-07,3.931390700781674e-07,2.8665200434715863e-07,3.675116932103066e-07,3.136753873638736e-07,4.373177726090111e-07,3.0859679255380513e-07,2.7714748187538683e-07,3.8566919825478157e-07,2.814865067955778e-07,2.3861895965902555e-07,3.826373568806194e-07,1.4797223037982234e-07,2.9157078829567126e-07,1.3025328233784606e-07,,,,,
